"x","y"
-145.94, 36.995
-143.29, 65.535
-142.23, 95.373
-140.64, 155.7
-139.58, 145.32
-131.09, 114.4
-127.37, 107.26
-123.13, 102.29
-103.5, 100.56
-82.281, 101.43
-57.347, 100.99
-38.249, 99.481
-18.09, 97.535
 3.13, 95.373
 24.881, 92.346
 51.406, 88.67
 78.462, 84.562
 104.99, 79.589
 129.92, 74.616
 156.45, 69.427
 181.91, 64.454
 204.72, 59.914
 229.12, 55.589
 254.06, 51.914
 278.46, 48.238
 303.93, 45.211
 330.45, 42.616
 354.85, 40.454
 378.73, 38.941
 400.48, 38.076
 429.12, 36.778
 460.42, 36.562
 642.92, 36.13
