"ts","vs"
 1.27500000000000000e+03, 0.00000000000000000e+00
 1.30750000000000000e+03, 1.13685587802787857e+01
 1.31562500000000000e+03, 3.48825997485048305e+01
 1.31968750000000000e+03, 3.78326182305692953e+01
 1.32171875000000000e+03, 3.91777124636945047e+01
 1.32273437500000000e+03, 3.98237411947275675e+01
 1.32298828125000000e+03, 3.99829838197254830e+01
 1.32305175781250000e+03, 4.00226370891717451e+01
 1.32311523437500000e+03, 4.00625802641192834e+01
 1.32324218750000000e+03, 4.01421339588455055e+01
 1.32375000000000000e+03, 4.04612042063666806e+01
 1.34000000000000000e+03, 4.94562763744912388e+01
 1.47000000000000000e+03, 7.52930663740050221e+01
 1.73000000000000000e+03, 7.95232975819122743e+01
